CharacteristicName,ResultValue,ResultSampleFraction
Nitrite,2,"Filtered, field"
Organic carbon,770,Dissolved
pH,8.29,
Potassium,0,Dissolved
Silica_reactive,1.12,Total
Sodium,0,"Filtered, field"
Soluble Reactive Phosphorus (SRP),22,"Filtered, field"
Sulfate,0,Dissolved
Total Nitrogen_mixed forms,380,Dissolved
Total Particulate Carbon,900,Suspended
Total Particulate Nitrogen,123,Non-Filterable (Particle)
Total Particulate Phosphorus,27,Non-Filterable (Particle)
Total Phosphorus_mixed forms,27,Dissolved
Total suspended solids,18,Non-Filterable (Particle)
Total suspended solids,13,Non-Filterable (Particle)
Alkalinity_total,0,Dissolved
Ammonia,15,"Filtered, field"
Calcium,0,Dissolved
Chloride,0,"Filtered, field"
Chlorophyll a,4.18,Total
Chlorophyll a,0,
Conductivity,217,Total
Inorganic carbon,1500,Dissolved
Iron,0,Dissolved
Magnesium,0,Dissolved
Manganese,0,Dissolved
Nitrate,23,"Filtered, field"
Nitrite,2,"Filtered, field"
Organic carbon,770,Dissolved
pH,8.22,
Potassium,0,Dissolved
Silica_reactive,1.78,Total
Sodium,0,"Filtered, field"
Soluble Reactive Phosphorus (SRP),27,"Filtered, field"
Sulfate,0,Dissolved
Total Nitrogen_mixed forms,400,Dissolved
Total Particulate Carbon,1270,Suspended
Total Particulate Nitrogen,129,Non-Filterable (Particle)
Total Particulate Phosphorus,25,Non-Filterable (Particle)
Total Phosphorus_mixed forms,33,Dissolved
Total suspended solids,11,Non-Filterable (Particle)
Total suspended solids,16,Non-Filterable (Particle)
Alkalinity_total,0,Dissolved
Ammonia,15,"Filtered, field"
Calcium,0,Dissolved
Chloride,0,"Filtered, field"
Chlorophyll a,3.62,Total
Chlorophyll a,0,
Conductivity,207,Total
Inorganic carbon,1470,Dissolved
Iron,0,Dissolved
Magnesium,0,Dissolved
Manganese,0,Dissolved
Nitrate,,"Filtered, field"
Nitrite,2,"Filtered, field"
Organic carbon,760,Dissolved
pH,8.25,
Potassium,0,Dissolved
Silica_reactive,1.23,Total
Sodium,0,"Filtered, field"
Soluble Reactive Phosphorus (SRP),23,"Filtered, field"
Sulfate,0,Dissolved
Total Nitrogen_mixed forms,385,Dissolved
Total Particulate Carbon,1120,Suspended
Total Particulate Nitrogen,143,Non-Filterable (Particle)
Total Particulate Phosphorus,28,Non-Filterable (Particle)
Total Phosphorus_mixed forms,28,Dissolved
Total suspended solids,20,Non-Filterable (Particle)
Total suspended solids,15,Non-Filterable (Particle)
Alkalinity_total,0,Dissolved
Ammonia,10,"Filtered, field"
Calcium,0,Dissolved
Chloride,0,"Filtered, field"
Chlorophyll a,7.13,Total
Chlorophyll a,0,
Conductivity,219,Total
Inorganic carbon,1640,Dissolved
Iron,0,Dissolved
Magnesium,0,Dissolved
Manganese,0,Dissolved
Nitrate,,"Filtered, field"
Nitrite,1,"Filtered, field"
Organic carbon,790,Dissolved
pH,8.31,
Potassium,0,Dissolved
Silica_reactive,1.14,Total
Sodium,0,"Filtered, field"
Soluble Reactive Phosphorus (SRP),23,"Filtered, field"
Sulfate,0,Dissolved
Total Nitrogen_mixed forms,405,Dissolved
Total Particulate Carbon,860,Suspended
Total Particulate Nitrogen,118,Non-Filterable (Particle)
Total Particulate Phosphorus,22,Non-Filterable (Particle)
Total Phosphorus_mixed forms,32,Dissolved
Total suspended solids,14,Non-Filterable (Particle)
Total suspended solids,10,Non-Filterable (Particle)
Alkalinity_total,0,Dissolved
Ammonia,15,"Filtered, field"
Calcium,0,Dissolved
Chloride,0,"Filtered, field"
Chlorophyll a,3.57,Total
Chlorophyll a,1.97,
Conductivity,207,Total
Inorganic carbon,1610,Dissolved
Iron,0,Dissolved
Magnesium,0,Dissolved
Manganese,0,Dissolved
Nitrate,3,"Filtered, field"
Nitrite,2,"Filtered, field"
Organic carbon,740,Dissolved
pH,8.29,
Potassium,0,Dissolved
Silica_reactive,0.508,Total
Sodium,0,"Filtered, field"
Soluble Reactive Phosphorus (SRP),21,"Filtered, field"
Sulfate,0,Dissolved
Total Nitrogen_mixed forms,425,Dissolved
Total Particulate Carbon,840,Suspended
Total Particulate Nitrogen,110,Non-Filterable (Particle)
Total Particulate Phosphorus,18,Non-Filterable (Particle)
Total Phosphorus_mixed forms,31,Dissolved
Total suspended solids,14,Non-Filterable (Particle)
Total suspended solids,9,Non-Filterable (Particle)
Alkalinity_total,0,Dissolved
Ammonia,15,"Filtered, field"
Calcium,0,Dissolved
Chloride,0,"Filtered, field"
Chlorophyll a,5.93,Total
Chlorophyll a,3.08,
Conductivity,218,Total
Inorganic carbon,1630,Dissolved
Iron,0,Dissolved
Magnesium,0,Dissolved
Manganese,0,Dissolved
Nitrate,2,"Filtered, field"
Nitrite,2,"Filtered, field"
Organic carbon,750,Dissolved
pH,8.34,
Potassium,0,Dissolved
Silica_reactive,0.558,Total
Sodium,0,"Filtered, field"
Soluble Reactive Phosphorus (SRP),32,"Filtered, field"
Sulfate,0,Dissolved
Total Nitrogen_mixed forms,410,Dissolved
Total Particulate Carbon,1260,Suspended
Total Particulate Nitrogen,180,Non-Filterable (Particle)
Total Particulate Phosphorus,26,Non-Filterable (Particle)
Total Phosphorus_mixed forms,32,Dissolved
Total suspended solids,18,Non-Filterable (Particle)
Total suspended solids,12,Non-Filterable (Particle)
Alkalinity_total,0,Dissolved
Ammonia,10,"Filtered, field"
Calcium,0,Dissolved
Chloride,0,"Filtered, field"
Chlorophyll a,12.72,Total
Chlorophyll a,6.55,
Conductivity,225,Total
Inorganic carbon,1650,Dissolved
Iron,0,Dissolved
Magnesium,0,Dissolved
Manganese,0,Dissolved
Nitrate,,"Filtered, field"
Nitrite,2,"Filtered, field"
Organic carbon,770,Dissolved
pH,8.33,
Potassium,0,Dissolved
Silica_reactive,1.05,Total
Sodium,0,"Filtered, field"
Soluble Reactive Phosphorus (SRP),26,"Filtered, field"
Sulfate,0,Dissolved
Total Nitrogen_mixed forms,420,Dissolved
Total Particulate Carbon,1130,Suspended
Total Particulate Nitrogen,174,Non-Filterable (Particle)
Total Particulate Phosphorus,28,Non-Filterable (Particle)
Total Phosphorus_mixed forms,34,Dissolved
Total suspended solids,10,Non-Filterable (Particle)
Total suspended solids,16,Non-Filterable (Particle)
Alkalinity_total,0,Dissolved
Ammonia,10,"Filtered, field"
Calcium,0,Dissolved
Chloride,0,"Filtered, field"
Chlorophyll a,4.79,Total
Chlorophyll a,3.07,
Conductivity,248,Total
Inorganic carbon,1820,Dissolved
Iron,0,Dissolved
Magnesium,0,Dissolved
Manganese,0,Dissolved
Nitrate,,"Filtered, field"
Nitrite,1,"Filtered, field"
Organic carbon,730,Dissolved
pH,8.34,
Potassium,0,Dissolved
Silica_reactive,0.324,Total
Sodium,0,"Filtered, field"
Soluble Reactive Phosphorus (SRP),23,"Filtered, field"
Sulfate,0,Dissolved
Total Nitrogen_mixed forms,410,Dissolved
Total Particulate Carbon,760,Suspended
Total Particulate Nitrogen,118,Non-Filterable (Particle)
Total Particulate Phosphorus,22,Non-Filterable (Particle)
Total Phosphorus_mixed forms,31,Dissolved
Total suspended solids,7,Non-Filterable (Particle)
Total suspended solids,12,Non-Filterable (Particle)
Alkalinity_total,0,Dissolved
Ammonia,10,"Filtered, field"
Calcium,0,Dissolved
Chloride,0,"Filtered, field"
Chlorophyll a,4.59,Total
Chlorophyll a,2.4,
Conductivity,242,Total
Inorganic carbon,1751,Dissolved
Iron,0,Dissolved
Magnesium,0,Dissolved
Manganese,0,Dissolved
Nitrate,,"Filtered, field"
Nitrite,1,"Filtered, field"
Organic carbon,808,Dissolved
pH,8.3,
Potassium,0,Dissolved
Silica_reactive,0.522,Total
Sodium,0,"Filtered, field"
Soluble Reactive Phosphorus (SRP),23,"Filtered, field"
Sulfate,0,Dissolved
Total Nitrogen_mixed forms,415,Dissolved
Total Particulate Carbon,890,Suspended
Total Particulate Nitrogen,129,Non-Filterable (Particle)
Total Particulate Phosphorus,24,Non-Filterable (Particle)
Total Phosphorus_mixed forms,31,Dissolved
Total suspended solids,15,Non-Filterable (Particle)
Total suspended solids,9,Non-Filterable (Particle)
Alkalinity_total,0,Dissolved
Ammonia,15,"Filtered, field"
Calcium,0,Dissolved
Chloride,0,"Filtered, field"
Chlorophyll a,8.49,Total
Chlorophyll a,3.71,
Conductivity,284,Total
Inorganic carbon,1998,Dissolved
Iron,0,Dissolved
Magnesium,0,Dissolved
Manganese,0,Dissolved
Nitrate,19,"Filtered, field"
Nitrite,2,"Filtered, field"
Organic carbon,801,Dissolved
pH,8.38,
Potassium,0,Dissolved
Silica_reactive,1.61,Total
Sodium,0,"Filtered, field"
Soluble Reactive Phosphorus (SRP),32,"Filtered, field"
Sulfate,0,Dissolved
Total Nitrogen_mixed forms,425,Dissolved
Total Particulate Carbon,740,Suspended
Total Particulate Nitrogen,126,Non-Filterable (Particle)
Total Particulate Phosphorus,20,Non-Filterable (Particle)
Total Phosphorus_mixed forms,40,Dissolved
Total suspended solids,3,Non-Filterable (Particle)
Total suspended solids,8,Non-Filterable (Particle)
Alkalinity_total,0,Dissolved
Ammonia,10,"Filtered, field"
Calcium,0,Dissolved
Chloride,0,"Filtered, field"
Chlorophyll a,7.12,Total
Chlorophyll a,3.15,
Conductivity,355,Total
Inorganic carbon,2112,Dissolved
Iron,0,Dissolved
Magnesium,0,Dissolved
Manganese,0,Dissolved
Nitrate,37,"Filtered, field"
Nitrite,2,"Filtered, field"
Organic carbon,773,Dissolved
pH,8.41,
Potassium,0,Dissolved
Silica_reactive,1.09,Total
Sodium,0,"Filtered, field"
Soluble Reactive Phosphorus (SRP),12,"Filtered, field"
Sulfate,0,Dissolved
Total Nitrogen_mixed forms,430,Dissolved
Total Particulate Carbon,720,Suspended
Total Particulate Nitrogen,133,Non-Filterable (Particle)
Total Particulate Phosphorus,17,Non-Filterable (Particle)
Total Phosphorus_mixed forms,19,Dissolved
Total suspended solids,5,Non-Filterable (Particle)
Total suspended solids,1,Non-Filterable (Particle)
Alkalinity_total,0,Dissolved
Ammonia,10,"Filtered, field"
Calcium,0,Dissolved
Chloride,0,"Filtered, field"
Chlorophyll a,5.53,Total
Chlorophyll a,2.83,
Conductivity,415,Total
Inorganic carbon,2281,Dissolved
Iron,0,Dissolved
Magnesium,0,Dissolved
Manganese,0,Dissolved
Nitrate,,"Filtered, field"
Nitrite,1,"Filtered, field"
Organic carbon,768,Dissolved
pH,8.44,
Potassium,0,Dissolved
Silica_reactive,0.435,Total
Sodium,0,"Filtered, field"
Soluble Reactive Phosphorus (SRP),1,"Filtered, field"
Sulfate,0,Dissolved
Total Nitrogen_mixed forms,390,Dissolved
Total Particulate Carbon,900,Suspended
Total Particulate Nitrogen,146,Non-Filterable (Particle)
Total Particulate Phosphorus,18,Non-Filterable (Particle)
Total Phosphorus_mixed forms,9,Dissolved
Total suspended solids,6,Non-Filterable (Particle)
Total suspended solids,1,Non-Filterable (Particle)
Alkalinity_total,0,Dissolved
Ammonia,10,"Filtered, field"
Calcium,0,Dissolved
Chloride,0,"Filtered, field"
Chlorophyll a,3.48,Total
Chlorophyll a,1.97,
Conductivity,353,Total
Inorganic carbon,2199,Dissolved
Iron,0,Dissolved
Magnesium,0,Dissolved
Manganese,0,Dissolved
Nitrate,1,"Filtered, field"
Nitrite,,"Filtered, field"
Organic carbon,707,Dissolved
pH,8.36,
Potassium,0,Dissolved
Silica_reactive,0.345,Total
Sodium,0,"Filtered, field"
Soluble Reactive Phosphorus (SRP),1,"Filtered, field"
Sulfate,0,Dissolved
Total Nitrogen_mixed forms,380,Dissolved
Total Particulate Carbon,740,Suspended
Total Particulate Nitrogen,103,Non-Filterable (Particle)
Total Particulate Phosphorus,16,Non-Filterable (Particle)
Total Phosphorus_mixed forms,8,Dissolved
Total suspended solids,5,Non-Filterable (Particle)
Total suspended solids,1,Non-Filterable (Particle)
Alkalinity_total,0,Dissolved
Ammonia,15,"Filtered, field"
Calcium,0,Dissolved
Chloride,0,"Filtered, field"
Chlorophyll a,5.63,Total
Chlorophyll a,3.43,
Conductivity,351,Total
Inorganic carbon,2098,Dissolved
Iron,0,Dissolved
Magnesium,0,Dissolved
Manganese,0,Dissolved
Nitrate,31,"Filtered, field"
Nitrite,1,"Filtered, field"
Organic carbon,722,Dissolved
pH,8.36,
Potassium,0,Dissolved
Silica_reactive,0.961,Total
Sodium,0,"Filtered, field"
Soluble Reactive Phosphorus (SRP),7,"Filtered, field"
Sulfate,0,Dissolved
Total Nitrogen_mixed forms,405,Dissolved
Total Particulate Carbon,610,Suspended
Total Particulate Nitrogen,58,Non-Filterable (Particle)
Total Particulate Phosphorus,18,Non-Filterable (Particle)
Total Phosphorus_mixed forms,14,Dissolved
Total suspended solids,4,Non-Filterable (Particle)
Total suspended solids,,Non-Filterable (Particle)
Alkalinity_total,0,Dissolved
Ammonia,15,"Filtered, field"
Calcium,0,Dissolved
Chloride,0,"Filtered, field"
Chlorophyll a,3.06,Total
Chlorophyll a,1.86,
Conductivity,345,Total
Inorganic carbon,2379,Dissolved
Iron,0,Dissolved
Magnesium,0,Dissolved
Manganese,0,Dissolved
Nitrate,1,"Filtered, field"
Nitrite,,"Filtered, field"
Organic carbon,665,Dissolved
pH,8.4,
Potassium,0,Dissolved
Silica_reactive,0.43,Total
Sodium,0,"Filtered, field"
Soluble Reactive Phosphorus (SRP),1,"Filtered, field"
Sulfate,0,Dissolved
Total Nitrogen_mixed forms,345,Dissolved
Total Particulate Carbon,660,Suspended
Total Particulate Nitrogen,63,Non-Filterable (Particle)
Total Particulate Phosphorus,12,Non-Filterable (Particle)
Total Phosphorus_mixed forms,7,Dissolved
Total suspended solids,,Non-Filterable (Particle)
Total suspended solids,3,Non-Filterable (Particle)
Alkalinity_total,0,Dissolved
Ammonia,-5,"Filtered, field"
Calcium,0,Dissolved
Chloride,0,"Filtered, field"
Chlorophyll a,2.87,Total
Chlorophyll a,1.69,
Conductivity,335,Total
Inorganic carbon,2253,Dissolved
Iron,0,Dissolved
Magnesium,0,Dissolved
Manganese,0,Dissolved
Nitrate,,"Filtered, field"
Nitrite,,"Filtered, field"
Organic carbon,677,Dissolved
pH,8.43,
Potassium,0,Dissolved
Silica_reactive,0.337,Total
Sodium,0,"Filtered, field"
Soluble Reactive Phosphorus (SRP),2,"Filtered, field"
Sulfate,0,Dissolved
Total Nitrogen_mixed forms,350,Dissolved
Total Particulate Carbon,580,Suspended
Total Particulate Nitrogen,57,Non-Filterable (Particle)
Total Particulate Phosphorus,11,Non-Filterable (Particle)
Total Phosphorus_mixed forms,9,Dissolved
Total suspended solids,,Non-Filterable (Particle)
Total suspended solids,3,Non-Filterable (Particle)
Alkalinity_total,0,Dissolved
Ammonia,10,"Filtered, field"
Calcium,0,Dissolved
Chloride,0,"Filtered, field"
Chlorophyll a,2.96,Total
Chlorophyll a,1.63,
Conductivity,354,Total
Inorganic carbon,2483,Dissolved
Iron,0,Dissolved
Magnesium,0,Dissolved
Manganese,0,Dissolved
Nitrate,,"Filtered, field"
Nitrite,,"Filtered, field"
Organic carbon,639,Dissolved
pH,8.39,
Potassium,0,Dissolved
Silica_reactive,0.293,Total
Sodium,0,"Filtered, field"
Soluble Reactive Phosphorus (SRP),,"Filtered, field"
Sulfate,0,Dissolved
Total Nitrogen_mixed forms,340,Dissolved
Total Particulate Carbon,700,Suspended
Total Particulate Nitrogen,63,Non-Filterable (Particle)
Total Particulate Phosphorus,12,Non-Filterable (Particle)
Total Phosphorus_mixed forms,6,Dissolved
Total suspended solids,4,Non-Filterable (Particle)
Total suspended solids,,Non-Filterable (Particle)
Alkalinity_total,0,Dissolved
Ammonia,-5,"Filtered, field"
Calcium,0,Dissolved
Chloride,0,"Filtered, field"
Chlorophyll a,3.94,Total
Chlorophyll a,2.27,
Conductivity,364,Total
Inorganic carbon,2550,Dissolved
Iron,0,Dissolved
Magnesium,0,Dissolved
Manganese,0,Dissolved
Nitrate,,"Filtered, field"
Nitrite,,"Filtered, field"
Organic carbon,650,Dissolved
pH,8.47,
Potassium,0,Dissolved
Silica_reactive,0.345,Total
Sodium,0,"Filtered, field"
Soluble Reactive Phosphorus (SRP),,"Filtered, field"
Sulfate,0,Dissolved
Total Nitrogen_mixed forms,350,Dissolved
Total Particulate Carbon,750,Suspended
Total Particulate Nitrogen,66,Non-Filterable (Particle)
Total Particulate Phosphorus,13,Non-Filterable (Particle)
Total Phosphorus_mixed forms,6,Dissolved
Total suspended solids,,Non-Filterable (Particle)
Total suspended solids,15,Non-Filterable (Particle)
Alkalinity_total,0,Dissolved
Ammonia,5,"Filtered, field"
Calcium,0,Dissolved
Chloride,0,"Filtered, field"
Chlorophyll a,3,Total
Chlorophyll a,1.52,
Conductivity,346,Total
Inorganic carbon,2426,Dissolved
Iron,0,Dissolved
Magnesium,0,Dissolved
Manganese,0,Dissolved
Nitrate,,"Filtered, field"
Nitrite,,"Filtered, field"
Organic carbon,650,Dissolved
pH,8.35,
Potassium,0,Dissolved
Silica_reactive,0.429,Total
Sodium,0,"Filtered, field"
Soluble Reactive Phosphorus (SRP),1,"Filtered, field"
Sulfate,0,Dissolved
Total Nitrogen_mixed forms,345,Dissolved
Total Particulate Carbon,680,Suspended
Total Particulate Nitrogen,57,Non-Filterable (Particle)
Total Particulate Phosphorus,14,Non-Filterable (Particle)
Total Phosphorus_mixed forms,8,Dissolved
Total suspended solids,,Non-Filterable (Particle)
Total suspended solids,5,Non-Filterable (Particle)
Alkalinity_total,0,Dissolved
Ammonia,-5,"Filtered, field"
Calcium,0,Dissolved
Chloride,0,"Filtered, field"
Chlorophyll a,1.61,Total
Chlorophyll a,0.88,
Conductivity,350,Total
Inorganic carbon,2390,Dissolved
Iron,0,Dissolved
Magnesium,0,Dissolved
Manganese,0,Dissolved
Nitrate,,"Filtered, field"
Nitrite,,"Filtered, field"
Organic carbon,656,Dissolved
pH,8.33,
Potassium,0,Dissolved
Silica_reactive,0.219,Total
Sodium,0,"Filtered, field"
Soluble Reactive Phosphorus (SRP),,"Filtered, field"
Sulfate,0,Dissolved
Total Nitrogen_mixed forms,335,Dissolved
Total Particulate Carbon,550,Suspended
Total Particulate Nitrogen,36,Non-Filterable (Particle)
Total Particulate Phosphorus,8,Non-Filterable (Particle)
Total Phosphorus_mixed forms,7,Dissolved
Total suspended solids,,Non-Filterable (Particle)
Total suspended solids,2,Non-Filterable (Particle)
Alkalinity_total,0,Dissolved
Ammonia,-5,"Filtered, field"
Calcium,0,Dissolved
Chloride,0,"Filtered, field"
Chlorophyll a,1.85,Total
Chlorophyll a,1.09,
Conductivity,390,Total
Inorganic carbon,2862,Dissolved
Iron,0,Dissolved
Magnesium,0,Dissolved
Manganese,0,Dissolved
Nitrate,,"Filtered, field"
Nitrite,,"Filtered, field"
Organic carbon,549,Dissolved
pH,8.48,
Potassium,0,Dissolved
Silica_reactive,0.441,Total
Sodium,0,"Filtered, field"
Soluble Reactive Phosphorus (SRP),,"Filtered, field"
Sulfate,0,Dissolved
Total Nitrogen_mixed forms,305,Dissolved
Total Particulate Carbon,610,Suspended
Total Particulate Nitrogen,34,Non-Filterable (Particle)
Total Particulate Phosphorus,10,Non-Filterable (Particle)
Total Phosphorus_mixed forms,7,Dissolved
Total suspended solids,5,Non-Filterable (Particle)
Total suspended solids,,Non-Filterable (Particle)
Alkalinity_total,0,Dissolved
Ammonia,5,"Filtered, field"
Calcium,0,Dissolved
Chloride,0,"Filtered, field"
Chlorophyll a,3.3,Total
Chlorophyll a,1.94,
Conductivity,360,Total
Inorganic carbon,2491,Dissolved
Iron,0,Dissolved
Magnesium,0,Dissolved
Manganese,0,Dissolved
Nitrate,,"Filtered, field"
Nitrite,,"Filtered, field"
Organic carbon,592,Dissolved
pH,8.33,
Potassium,0,Dissolved
Silica_reactive,0.411,Total
Sodium,0,"Filtered, field"
Soluble Reactive Phosphorus (SRP),2,"Filtered, field"
Sulfate,0,Dissolved
Total Nitrogen_mixed forms,345,Dissolved
Total Particulate Carbon,650,Suspended
Total Particulate Nitrogen,44,Non-Filterable (Particle)
Total Particulate Phosphorus,14,Non-Filterable (Particle)
Total Phosphorus_mixed forms,11,Dissolved
Total suspended solids,,Non-Filterable (Particle)
Total suspended solids,3,Non-Filterable (Particle)
Alkalinity_total,0,Dissolved
Ammonia,10,"Filtered, field"
Calcium,0,Dissolved
Chloride,0,"Filtered, field"
Chlorophyll a,1.92,Total
Chlorophyll a,1.1,
Conductivity,373,Total
Inorganic carbon,2697,Dissolved
Iron,0,Dissolved
Magnesium,0,Dissolved
Manganese,0,Dissolved
Nitrate,,"Filtered, field"
Nitrite,,"Filtered, field"
Organic carbon,586,Dissolved
pH,8.42,
Potassium,0,Dissolved
Silica_reactive,0.551,Total
Sodium,0,"Filtered, field"
Soluble Reactive Phosphorus (SRP),,"Filtered, field"
Sulfate,0,Dissolved
Total Nitrogen_mixed forms,325,Dissolved
Total Particulate Carbon,580,Suspended
Total Particulate Nitrogen,31,Non-Filterable (Particle)
Total Particulate Phosphorus,10,Non-Filterable (Particle)
Total Phosphorus_mixed forms,12,Dissolved
Total suspended solids,3,Non-Filterable (Particle)
Total suspended solids,,Non-Filterable (Particle)
Alkalinity_total,0,Dissolved
Ammonia,10,"Filtered, field"
Calcium,0,Dissolved
Chloride,0,"Filtered, field"
Chlorophyll a,2.99,Total
Chlorophyll a,1.61,
Conductivity,327,Total
Inorganic carbon,2152,Dissolved
Iron,0,Dissolved
Magnesium,0,Dissolved
Manganese,0,Dissolved
Nitrate,,"Filtered, field"
Nitrite,,"Filtered, field"
Organic carbon,647,Dissolved
pH,8.45,
Potassium,0,Dissolved
Silica_reactive,0.433,Total
Sodium,0,"Filtered, field"
Soluble Reactive Phosphorus (SRP),,"Filtered, field"
Sulfate,0,Dissolved
